text,label,file
Mitkä asiat päättää aluevaltuusto ja aluehallitus alaistansa osalta?,2, ./chunks_hallinto/chunk3.txt
Kuka päättää viran siirtämisestä toiseen virkasuhteeseen?,2, ./chunks_hallinto/chunk3.txt
Kuka päättää palvelussuhteeseen ottava viranomainen?,2, ./chunks_hallinto/chunk3.txt
Miten pelastuslautakunta liitettiin Pelastuksen tehtäviin?,2, ./chunks_hallinto/chunk3.txt
Mitä on sisäisen valvonnan järjestämisessä tarkoitus hyvinvointialueella?,5, ./chunks_hallinto/chunk6.txt
Kuka päättää Pelastuslautakunta 25 §:n mukaisesti?,2, ./chunks_hallinto/chunk3.txt
Kuka päättää muutoksista muissa virkojen kelpoisuusvaatimuksissa?,2, ./chunks_hallinto/chunk3.txt
Kuka päättää siirroista toimialalta toiselle?,2, ./chunks_hallinto/chunk3.txt
Kuka päättää aluevaltuuston ja aluehallinnon tehtäviä?,2, ./chunks_hallinto/chunk3.txt
Mitkä asiat päättää aluevaltuusto ja aluehallitus?,2, ./chunks_hallinto/chunk3.txt
"Onko henkilö aina vaalikelpoinen, jos hän on aluevaltuustoon valituksen jälkeen?",0, ./chunks_hallinto/chunk.txt
Miten toimialajohtaja päättää 76 §:n mukaisesti viranhaltijoiden muutoksista?,2, ./chunks_hallinto/chunk3.txt
Miten toimialajohtaja päättää 76 §:n mukaisesti viranhaltijoiden muutoksista?,2, ./chunks_hallinto/chunk3.txt
Kuka päättää muutoksista muissa virkojen kelpoisuusvaatimuksissa?,2, ./chunks_hallinto/chunk3.txt
Mikä on aluehallituksen sisäisen valvonnan tarkoitus hyvinvointialueella?,5, ./chunks_hallinto/chunk6.txt
Miten pelastuslautakunta liitettiin Pelastuksen tehtäviin?,2, ./chunks_hallinto/chunk3.txt
Miten hyvinvointialuejohtaja päättää viran kelpoisuusvaatimuksista?,2, ./chunks_hallinto/chunk3.txt
Miten pelastuslaitos liitettiin Pelastuslautakuntaan?,2, ./chunks_hallinto/chunk3.txt
Mitkä asiat päättää Pelastuslautakunta 25 §:n mukaisesti?,2, ./chunks_hallinto/chunk3.txt
Kuka päättää siirroista toimialalta toiselle?,2, ./chunks_hallinto/chunk3.txt
"Ei ole hyvinvointiyhtymän jäsen, joka on hyvinvointialueen aluevaltuuston osalta vaalikelpoinen?",0, ./chunks_hallinto/chunk.txt
"Miten hyvinvoinnialuejohtaja vastaa sisäisen valvonnan ja riskienhallinnan järjestämisestä siten, että hyvinvointialueen toiminnan olennaiset riskit tunnistetaan ja kuvataan?",5, ./chunks_hallinto/chunk6.txt
"Miten henkilöstön koulutus ja kehittymismahdollisuudet muuttuvat, kun virkaan ottamispäätös kumottaa lainvoiman päätöksellä?",3, ./chunks_hallinto/chunk4.txt
"Onko henkilö kyseisen hyvinvointialueen asukas, jotta hän on vaalikelpoinen?",0, ./chunks_hallinto/chunk.txt
Kuka päättää palvelussuhteeseen ottava viranomainen?,2, ./chunks_hallinto/chunk3.txt
